p,phi,theta
-0.7863477786762445,15.032124429870244,0.0
-0.7863477786762445,34.40411513734946,0.0
-0.7863477786762445,37.634093253607105,0.0
-0.7863477786762445,42.146433490864645,0.0
-0.7863477786762445,44.53210443258429,0.0
-0.7863477786762445,48.16588941493232,0.0
-0.7863477786762445,56.223432336627745,0.0
-0.7863477786762445,56.87656829539055,0.0
-0.7863477786762445,64.81152076186775,0.0
-0.7863477786762445,64.9529456343452,0.0
-0.7863477786762445,67.01607444081174,0.0
-0.7863477786762445,72.85942073354605,0.0
-0.7863477786762445,84.51121065108913,0.0
-0.7863477786762445,88.6510103787958,0.0
-0.7863477786762445,89.82616170455877,0.0
-0.7863477786762445,90.0,0.0
-0.7863477786762445,15.032124429870244,101.3197473465238
-0.7863477786762445,28.3448432376915,101.3197473465238
-0.7863477786762445,34.40411513734946,101.3197473465238
-0.7863477786762445,37.634093253607105,101.3197473465238
-0.7863477786762445,42.146433490864645,101.3197473465238
-0.7863477786762445,44.53210443258429,101.3197473465238
-0.7863477786762445,48.16588941493232,101.3197473465238
-0.7863477786762445,51.22677193148639,101.3197473465238
-0.7863477786762445,51.70912915826938,101.3197473465238
-0.7863477786762445,56.223432336627745,101.3197473465238
-0.7863477786762445,61.896674610189535,101.3197473465238
-0.7863477786762445,64.81152076186775,101.3197473465238
-0.7863477786762445,67.01607444081174,101.3197473465238
-0.7863477786762445,72.85942073354605,101.3197473465238
-0.7863477786762445,76.21007682085786,101.3197473465238
-0.7863477786762445,76.28604816576977,101.3197473465238
-0.7863477786762445,79.0952473444516,101.3197473465238
-0.7863477786762445,81.51176136730015,101.3197473465238
-0.7863477786762445,83.75813428354947,101.3197473465238
-0.7863477786762445,88.6510103787958,101.3197473465238
-0.7863477786762445,90.0,101.3197473465238
-0.7863477786762445,0.0,101.78761605501836
-0.7863477786762445,1.3058072655819544,101.78761605501836
-0.7863477786762445,15.032124429870244,101.78761605501836
-0.7863477786762445,21.790342278515187,101.78761605501836
-0.7863477786762445,28.3448432376915,101.78761605501836
-0.7863477786762445,31.427919388981753,101.78761605501836
-0.7863477786762445,34.40411513734946,101.78761605501836
-0.7863477786762445,37.634093253607105,101.78761605501836
-0.7863477786762445,44.53210443258429,101.78761605501836
-0.7863477786762445,48.16588941493232,101.78761605501836
-0.7863477786762445,51.22677193148639,101.78761605501836
-0.7863477786762445,51.70912915826938,101.78761605501836
-0.7863477786762445,56.223432336627745,101.78761605501836
-0.7863477786762445,56.87656829539055,101.78761605501836
-0.7863477786762445,61.896674610189535,101.78761605501836
-0.7863477786762445,69.8525230997197,101.78761605501836
-0.7863477786762445,76.21007682085786,101.78761605501836
-0.7863477786762445,76.28604816576977,101.78761605501836
-0.7863477786762445,83.75813428354947,101.78761605501836
-0.7863477786762445,84.51121065108913,101.78761605501836
-0.7863477786762445,88.6510103787958,101.78761605501836
-0.7863477786762445,89.82616170455877,101.78761605501836
-0.7863477786762445,90.0,101.78761605501836
-0.7863477786762445,1.3058072655819544,105.18361874917312
-0.7863477786762445,21.790342278515187,105.18361874917312
-0.7863477786762445,28.3448432376915,105.18361874917312
-0.7863477786762445,31.427919388981753,105.18361874917312
-0.7863477786762445,34.40411513734946,105.18361874917312
-0.7863477786762445,37.634093253607105,105.18361874917312
-0.7863477786762445,42.146433490864645,105.18361874917312
-0.7863477786762445,44.53210443258429,105.18361874917312
-0.7863477786762445,48.16588941493232,105.18361874917312
